#E (eV)	 f2
9094	0.7438147447
9132	0.7382903769
9170	0.732757426
9208	0.7273309219
9246	0.7219733372
9284	0.7166469481
9322	0.7113906191
9360	0.7061665298
9398	0.701052165
9436	0.6959326467
9474	0.6909241426
9512	0.685911445
9550	0.6810110722
9588	0.6761074761
9626	0.6712786788
9664	0.6665253533
9702	0.6618091977
9740	0.6571307081
9778	0.6524903821
9816	0.6479278922
9854	0.6434046971
9892	0.6389213013
9930	0.6344782114
9968	0.6300759355
10006	0.6257149835
10044	0.6214354446
10082	0.6171587471
10120	0.612964633
10158	0.6087742546
10196	0.6046277787
10234	0.6005656603
10272	0.5965086284
10310	0.5924970694
10348	0.5884913556
10386	0.5845722513
10424	0.5806599019
10462	0.5768353755
10500	0.5729780615
10538	0.5692096401
10576	0.5654902682
10614	0.5617391026
10652	0.5580785238
10690	0.5544276118
10728	0.5508276015
10766	0.5472790386
10804	0.5437002892
10842	0.5402149318
10880	0.5367412531
10918	0.5333208955
10956	0.5298715744
10994	0.5265178532
11032	0.5231773665
11070	0.5198504208
11108	3.9168186775
11146	3.8967199049
11184	3.8766998492
11222	3.8568610496
11260	3.8370949735
11298	3.8176070271
11336	3.7982883783
11374	3.7791353151
11412	3.7600420356
11450	3.7412100238
11488	3.7224319953
11526	3.7037062055
11564	3.6851311553
11602	3.6668034718
11640	3.6486195078
11678	3.6303788082
11716	3.612277987
11754	3.5944122013
11792	3.576680033
11830	3.5590789378
11868	3.5414131865
11906	3.523971505
11944	3.5066545081
11982	3.4894599288
12020	3.472480622
12058	3.4554293005
12096	3.438589055
12134	3.4218628296
12172	3.4052486807
12210	3.3888379739
12248	3.3723491257
12286	3.3560601146
12324	3.3398759658
12362	3.3237950065
12400	3.3078156128
12438	3.2919362079
12476	3.2762462734
12514	3.260562001
12552	3.2449732603
12590	3.2295687939
12628	3.2142565374
12666	3.1990351825
12704	3.1838141265
12742	3.1688601273
12780	3.1539039909
12818	3.1391224455
12856	3.1243369823
12894	3.109635314
12932	3.0951042084
12970	3.0807419297
13008	3.0663720313
13046	3.052081382
13084	3.0379559806
13122	3.0238208059
13160	3.0098486474
13198	2.9959517043
13236	2.9822152603
13274	2.9684660735
13312	2.9547896739
13350	2.9412708342
13388	2.9278228998
13426	2.9145303318
13464	2.9012219081
13502	2.8879823098
13540	2.8748955349
13578	2.8618759573
13616	2.8489229664
13654	2.8361201359
13692	2.8233824095
13730	2.8106253752
13768	2.7980163663
13806	2.7855544145
13844	2.7730717403
13882	2.7607348455
13920	2.7484596959
13958	2.7362458354
13996	2.7240928215
14034	2.7120002244
14072	2.700050256
14110	2.6881596374
14148	2.6763279832
14186	2.6645549194
14224	2.6529222419
14262	2.6412651704
14300	2.6297475748
14338	2.6183688071
14376	2.6069647832
14414	2.5956171393
14452	2.5843255819
14490	2.57317126
14528	2.562072277
14566	2.5510283734
14604	2.5400392984
14642	2.5291858826
14680	2.5183056616
14718	2.5075604748
14756	2.4968690383
14794	2.4862311479
14832	2.4756466076
14870	2.4651152284
14908	2.4547173538
14946	2.4442916889
14984	2.4339990501
15022	2.4237587577
15060	2.413570663
15098	2.4034346242
15136	2.3933505056
15174	2.3833181779
15212	2.3734175364
15250	2.3635683355
15288	2.3536905577
15326	2.343943976
15364	2.3342485317
15402	2.3246041352
15440	2.3150107026
15478	2.3054681553
15516	2.29597642
15554	2.2865354284
15592	2.2771451173
15630	2.2678849356
15668	2.2585957786
15706	2.2494365784
15744	2.2402483871
15782	2.2311900048
15820	2.2221819662
15858	2.2131449366
15896	2.2042375399
15934	2.1953011674
15972	2.1864943382
16010	2.1777377636
16048	2.1690314389
16086	2.1603753635
16124	2.1516904002
16162	2.1431348558
16200	2.1346295811
16238	2.1261745911
16276	2.1177699046
16314	2.109415544
16352	2.1010324877
16390	2.0927788716
16428	2.0844966433
16466	2.0763439
16504	2.068162637
16542	2.0601109224
16580	2.0521097868
16618	2.0440802874
16656	2.0361014772
16694	2.0281734098
16732	2.0202961418
16770	2.0125487183
16808	2.0047732327
16846	1.9970487367
16884	1.9892963081
16922	1.9816739977
16960	1.9741028927
16998	1.9665040649
17036	1.9590356008
17074	1.9515395632
17112	1.9440950422
17150	1.9367021247
17188	1.9293609003
17226	1.9220714612
17264	1.9147548283
17302	1.9075692346
17340	1.9003566168
17378	1.8931961498
17416	1.8860879366
17454	1.8790320829
17492	1.8720286972
17530	1.864998704
17568	1.85810057
17606	1.8511760171
17644	1.844304348
17682	1.8374856809
17720	1.8306408449
17758	1.8238492083
17796	1.8171108942
17834	1.8104260283
17872	1.8037947387
17910	1.7971377396
17948	1.7906139686
17986	1.7840646999
18024	1.7774899848
18062	1.7710489305
18100	1.7645826466
18138	1.7581707721
18176	1.7518134489
18214	1.745510821
18252	1.739183348
18290	1.7329107977
18328	1.7266135646
18366	1.7204512716
18404	1.7142645279
18442	1.7081332398
18480	1.7020575622
18518	1.6959577172
18556	1.6899137221
18594	1.6839257359
18632	1.6779138693
18670	1.6719582555
18708	1.6660590578
18746	1.6601362697
18784	1.6542701462
18822	1.6484608543
18860	1.6426282656
18898	1.6369331024
18936	1.6311345134
18974	1.625473694
19012	1.619790004
19050	1.6140834836
19088	1.6085153022
19126	1.6029245525
19164	1.5973919328
19202	1.5918369163
19240	1.5863402964
19278	1.5808214514
19316	1.5753612712
19354	1.5699599402
19392	1.5645366919
19430	1.5591725655
19468	1.5538677491
19506	1.5485413262
19544	1.5432744904
19582	1.5379862223
19620	1.5327578201
19658	1.5275894776
19696	1.522400018
19734	1.5172709013
19772	1.5121208429
19810	1.5070314123
19848	1.5019212158
19886	1.496871934
19924	1.4918837678
19962	1.4868751565
20000	1.4819279519

