#h	k	l			DE/EP	Eback-scattering (eV)					
4	-2	-6	56		9.06153602155642E-06	8200.064526155
-4	2	6	56		9.06153602155642E-06	8200.064526155
-4	2	-6	56		9.06153602155642E-06	8200.064526155
-4	-2	6	56		9.06153602155642E-06	8200.064526155
-4	-2	-6	56		9.06153602155642E-06	8200.064526155
4	6	2	56		9.06153602155642E-06	8200.064526155
4	6	-2	56		9.06153602155642E-06	8200.064526155
4	-6	2	56		9.06153602155642E-06	8200.064526155
4	-6	-2	56		9.06153602155642E-06	8200.064526155
-4	6	2	56		9.06153602155642E-06	8200.064526155
-4	6	-2	56		9.06153602155642E-06	8200.064526155
-4	-6	2	56		9.06153602155642E-06	8200.064526155
-4	-6	-2	56		9.06153602155642E-06	8200.064526155
6	2	4	56		9.06153602155642E-06	8200.064526155
6	2	-4	56		9.06153602155642E-06	8200.064526155
6	-2	4	56		9.06153602155642E-06	8200.064526155
6	-2	-4	56		9.06153602155642E-06	8200.064526155
-6	2	4	56		9.06153602155642E-06	8200.064526155
-6	2	-4	56		9.06153602155642E-06	8200.064526155
-6	-2	4	56		9.06153602155642E-06	8200.064526155
-6	-2	-4	56		9.06153602155642E-06	8200.064526155
6	4	2	56		9.06153602155642E-06	8200.064526155
6	4	-2	56		9.06153602155642E-06	8200.064526155
6	-4	2	56		9.06153602155642E-06	8200.064526155
6	-4	-2	56		9.06153602155642E-06	8200.064526155
-6	4	2	56		9.06153602155642E-06	8200.064526155
-6	4	-2	56		9.06153602155642E-06	8200.064526155
-6	-4	2	56		9.06153602155642E-06	8200.064526155
-6	-4	-2	56		9.06153602155642E-06	8200.064526155
1	3	7	59		5.88147880595211E-06	8416.8436947176
1	3	-7	59		5.88147880595211E-06	8416.8436947176
1	-3	7	59		5.88147880595211E-06	8416.8436947176
1	-3	-7	59		5.88147880595211E-06	8416.8436947176
-1	3	7	59		5.88147880595211E-06	8416.8436947176
-1	3	-7	59		5.88147880595211E-06	8416.8436947176
-1	-3	7	59		5.88147880595211E-06	8416.8436947176
-1	-3	-7	59		5.88147880595211E-06	8416.8436947176
1	7	3	59		5.88147880595211E-06	8416.8436947176
1	7	-3	59		5.88147880595211E-06	8416.8436947176
1	-7	3	59		5.88147880595211E-06	8416.8436947176
1	-7	-3	59		5.88147880595211E-06	8416.8436947176
-1	7	3	59		5.88147880595211E-06	8416.8436947176
-1	7	-3	59		5.88147880595211E-06	8416.8436947176
-1	-7	3	59		5.88147880595211E-06	8416.8436947176
-1	-7	-3	59		5.88147880595211E-06	8416.8436947176
3	1	7	59		5.88147880595211E-06	8416.8436947176
3	1	-7	59		5.88147880595211E-06	8416.8436947176
3	-1	7	59		5.88147880595211E-06	8416.8436947176
3	-1	-7	59		5.88147880595211E-06	8416.8436947176
-3	1	7	59		5.88147880595211E-06	8416.8436947176
-3	1	-7	59		5.88147880595211E-06	8416.8436947176
-3	-1	7	59		5.88147880595211E-06	8416.8436947176
-3	-1	-7	59		5.88147880595211E-06	8416.8436947176
3	5	5	59		5.88147880595211E-06	8416.8436947176
3	5	-5	59		5.88147880595211E-06	8416.8436947176
3	-5	5	59		5.88147880595211E-06	8416.8436947176
3	-5	-5	59		5.88147880595211E-06	8416.8436947176
-3	5	5	59		5.88147880595211E-06	8416.8436947176
-3	5	-5	59		5.88147880595211E-06	8416.8436947176
