# h	k	l			DE/EP	Eback-scattering (eV)					
3	5	1	35		5.90859076889314E-06	6752.9652644143
3	5	-1	35		5.90859076889314E-06	6752.9652644143
3	-5	1	35		5.90859076889314E-06	6752.9652644143
3	-5	-1	35		5.90859076889314E-06	6752.9652644143
-3	5	1	35		5.90859076889314E-06	6752.9652644143
-3	5	-1	35		5.90859076889314E-06	6752.9652644143
-3	-5	1	35		5.90859076889314E-06	6752.9652644143
-3	-5	-1	35		5.90859076889314E-06	6752.9652644143
5	1	3	35		5.90859076889314E-06	6752.9652644143
5	1	-3	35		5.90859076889314E-06	6752.9652644143
5	-1	3	35		5.90859076889314E-06	6752.9652644143
5	-1	-3	35		5.90859076889314E-06	6752.9652644143
-5	1	3	35		5.90859076889314E-06	6752.9652644143
-5	1	-3	35		5.90859076889314E-06	6752.9652644143
-5	-1	3	35		5.90859076889314E-06	6752.9652644143
-5	-1	-3	35		5.90859076889314E-06	6752.9652644143
5	3	1	35		5.90859076889314E-06	6752.9652644143
5	3	-1	35		5.90859076889314E-06	6752.9652644143
5	-3	1	35		5.90859076889314E-06	6752.9652644143
5	-3	-1	35		5.90859076889314E-06	6752.9652644143
-5	3	1	35		5.90859076889314E-06	6752.9652644143
-5	3	-1	35		5.90859076889314E-06	6752.9652644143
-5	-3	1	35		5.90859076889314E-06	6752.9652644143
-5	-3	-1	35		5.90859076889314E-06	6752.9652644143
0	2	6	40		6.69056455985263E-06	7219.2235326353
0	2	-6	40		6.69056455985263E-06	7219.2235326353
0	-2	6	40		6.69056455985263E-06	7219.2235326353
0	-2	-6	40		6.69056455985263E-06	7219.2235326353
0	6	2	40		6.69056455985263E-06	7219.2235326353
0	6	-2	40		6.69056455985263E-06	7219.2235326353
0	-6	2	40		6.69056455985263E-06	7219.2235326353
0	-6	-2	40		6.69056455985263E-06	7219.2235326353
2	0	6	40		6.69056455985263E-06	7219.2235326353
2	0	-6	40		6.69056455985263E-06	7219.2235326353
-2	0	6	40		6.69056455985263E-06	7219.2235326353
-2	0	-6	40		6.69056455985263E-06	7219.2235326353
